year,month,day,hour,minute,identifier,zone_ideal_loads_supply_air_total_cooling_energy,zone_ideal_loads_supply_air_total_heating_energy
2017,3,1,0,0,office_23,0.04517561313980725,8.8940597067986
2017,4,1,0,0,office_23,0.666901461242526,3.6258667768357364
2017,5,1,0,0,office_23,1.375599451695616,0.7762965802623217
2017,6,1,0,0,office_23,4.470421865573432,0.2606092869802882
2017,7,1,0,0,office_23,10.348730937145953,0.0021523320990864837
2017,8,1,0,0,office_23,7.027311047964027,0.000699986867885204
2017,9,1,0,0,office_23,2.1192609678203764,0.11756957923739819
2017,10,1,0,0,office_23,0.10340900312248344,2.2451047455105475
2017,11,1,0,0,office_23,0.0,7.774375755385166
2017,12,1,0,0,office_23,0.0,12.914401539946795
2017,1,1,0,0,office_24,0.0,18.816543915925042
2017,2,1,0,0,office_24,0.0,13.03319987154004
2017,3,1,0,0,office_24,0.045344962041542224,8.865910053216666
2017,4,1,0,0,office_24,0.6686682115814824,3.6247911346989645
2017,5,1,0,0,office_24,1.380919699724971,0.7801121512782386
2017,6,1,0,0,office_24,4.480999922471345,0.26331010724497744
2017,7,1,0,0,office_24,10.37458315471934,0.0021208227835021395
2017,8,1,0,0,office_24,7.059109265952015,0.0006982694376251344
2017,9,1,0,0,office_24,2.131613142061176,0.11709701987632837
2017,10,1,0,0,office_24,0.10505923182131015,2.2380474950609823
2017,11,1,0,0,office_24,0.0,7.7645281495989265
2017,12,1,0,0,office_24,0.0,12.898623688238121
2017,1,1,0,0,office_25,0.0,18.759104833167516
2017,2,1,0,0,office_25,0.0,12.959615124947694
2017,3,1,0,0,office_25,0.04513002313409839,8.846514972115664
2017,4,1,0,0,office_25,0.6946008081763766,3.66852276765019
2017,5,1,0,0,office_25,1.442709725271823,0.799657875692715
2017,6,1,0,0,office_25,4.562337012358549,0.2743737643327973
2017,7,1,0,0,office_25,10.560962285152286,0.002051092449667399
2017,8,1,0,0,office_25,7.255234599894104,0.0007192390896477178
2017,9,1,0,0,office_25,2.232324652108569,0.11855821045861366
2017,10,1,0,0,office_25,0.10707498596752998,2.2573870414315893
2017,11,1,0,0,office_25,0.0,7.789282681937328
2017,12,1,0,0,office_25,0.0,12.864800483548304
2017,1,1,0,0,office_26,0.0,18.640981794759746
2017,2,1,0,0,office_26,0.0,12.851272036888922
2017,3,1,0,0,office_26,0.04584065672645798,8.776846562781811
2017,4,1,0,0,office_26,0.707983816188961,3.6585590797346237
2017,5,1,0,0,office_26,1.4730130673327382,0.8044333209726325
2017,6,1,0,0,office_26,4.604263379981646,0.2775448012931256
2017,7,1,0,0,office_26,10.652079609439653,0.0020366807635465983
2017,8,1,0,0,office_26,7.361361411422498,0.0007170933363698855
2017,9,1,0,0,office_26,2.288339049055665,0.11739662732453297
2017,10,1,0,0,office_26,0.10987738828509283,2.237678987461281
2017,11,1,0,0,office_26,0.0,7.74166819872559
2017,12,1,0,0,office_26,0.0,12.772128388217219
2017,1,1,0,0,office_27,0.0,18.49186230672091
2017,2,1,0,0,office_27,0.0,12.722598448554868
2017,3,1,0,0,office_27,0.046602839474261866,8.700651180955695
2017,4,1,0,0,office_27,0.7210922607413032,3.640792972837292
2017,5,1,0,0,office_27,1.5005533811034146,0.8060251931210851
2017,6,1,0,0,office_27,4.637323122061195,0.2785203345847015
2017,7,1,0,0,office_27,10.722721581383647,0.0020311262235432523
2017,8,1,0,0,office_27,7.4598248947302155,0.0007063405514448193
2017,9,1,0,0,office_27,2.3467029492006053,0.11524452092668122
2017,10,1,0,0,office_27,0.11273313474370127,2.2082623448915655
2017,11,1,0,0,office_27,0.0,7.678924820321881
2017,12,1,0,0,office_27,0.0,12.65849100176605
2017,1,1,0,0,office_28,0.0,18.33176989294775
2017,2,1,0,0,office_28,0.0,12.59298658303934
2017,3,1,0,0,office_28,0.0475112514329978,8.628141192887794
2017,4,1,0,0,office_28,0.7339543505422363,3.6227307732157303
2017,5,1,0,0,office_28,1.5277315507281393,0.8073294813926203
2017,6,1,0,0,office_28,4.669583624051191,0.27894119556418784
2017,7,1,0,0,office_28,10.790442317621494,0.0020284155347088917
2017,8,1,0,0,office_28,7.561904133191979,0.0006959671485218291
2017,9,1,0,0,office_28,2.4093605139127097,0.11320216908337453
2017,10,1,0,0,office_28,0.11616866466141469,2.178150192655017
2017,11,1,0,0,office_28,7.99212471693365e-07,7.613825881144621
2017,12,1,0,0,office_28,0.0,12.536488912214976
2017,1,1,0,0,office_29,0.0,18.183617743643072
2017,2,1,0,0,office_29,0.0,12.473538865566034
2017,3,1,0,0,office_29,0.04864178325042428,8.564627182335546
2017,4,1,0,0,office_29,0.7457370693330428,3.6087536126432096
2017,5,1,0,0,office_29,1.5508342018161594,0.8097321593045975
2017,6,1,0,0,office_29,4.699556776483408,0.27965968355029985
2017,7,1,0,0,office_29,10.852149263100921,0.002057139269992078
2017,8,1,0,0,office_29,7.662649535253103,0.0007029569815527148
2017,9,1,0,0,office_29,2.469970366599552,0.11251619300468832
2017,10,1,0,0,office_29,0.12104896534550888,2.153436510118259
2017,11,1,0,0,office_29,2.1484366885683025e-06,7.553228601897131
2017,12,1,0,0,office_29,0.0,12.424503707755393
2017,1,1,0,0,office_30,0.0,18.146808337594027
2017,2,1,0,0,office_30,0.0,12.43620126966627
2017,3,1,0,0,office_30,0.05061438335812481,8.544998929455874
2017,4,1,0,0,office_30,0.7535603234482444,3.6090811018763573
2017,5,1,0,0,office_30,1.5692234775320482,0.8189304076358572
2017,6,1,0,0,office_30,4.746552354862341,0.283634724900226
2017,7,1,0,0,office_30,10.945589194599108,0.002236457337847679
2017,8,1,0,0,office_30,7.760673953090124,0.0007838774489095913
2017,9,1,0,0,office_30,2.5175322332939074,0.11741709483102887
2017,10,1,0,0,office_30,0.12780411173463058,2.149657004309076
2017,11,1,0,0,office_30,2.899124639830221e-06,7.522382442206613
2017,12,1,0,0,office_30,0.0,12.38649585219101
2017,1,1,0,0,office_31,0.0,18.363285530375027
2017,2,1,0,0,office_31,0.0,12.554951634501183
2017,3,1,0,0,office_31,0.0666617460909756,8.671156380776155
2017,4,1,0,0,office_31,0.7984482850980915,3.6778856789894916
2017,5,1,0,0,office_31,1.7116053262792068,0.8446207774969182
2017,6,1,0,0,office_31,5.118061577958933,0.2979279634790584
2017,7,1,0,0,office_31,11.687068721520712,0.00261924428251164
2017,8,1,0,0,office_31,8.342060094536016,0.0013609116323822195
2017,9,1,0,0,office_31,2.777409497743187,0.13802799129837212
2017,10,1,0,0,office_31,0.15953729041244705,2.2035937528682465
2017,11,1,0,0,office_31,6.359110152166107e-06,7.574876482949499
2017,12,1,0,0,office_31,0.0,12.48420903707119
2017,1,1,0,0,writeup_0,0.0,20.313838540433885
