month,day,hour,minute,identifier,surface_inside_face_temperature,surface_outside_face_temperature
9,1,0,0,office_0..Face5,22.36855930310515,22.509483851792766
10,1,0,0,office_0..Face5,20.6485867635916,20.589884421394242
11,1,0,0,office_0..Face5,19.410236346400847,19.195031179992018
12,1,0,0,office_0..Face5,18.75110105865796,18.460604885032048
1,1,0,0,office_0..Face6,18.465407841249213,18.14330362685238
2,1,0,0,office_0..Face6,18.70658125834273,18.44165398798157
3,1,0,0,office_0..Face6,19.28363763523008,19.13592664363974
4,1,0,0,office_0..Face6,19.929271814052495,19.942245137123386
5,1,0,0,office_0..Face6,21.787961343412974,21.984052452979224
6,1,0,0,office_0..Face6,22.940770627137994,23.188431576408057
7,1,0,0,office_0..Face6,24.108291725247632,24.43057051360971
8,1,0,0,office_0..Face6,23.67704299283506,23.92502117235195
9,1,0,0,office_0..Face6,22.379225236787292,22.512910742288142
10,1,0,0,office_0..Face6,20.641796642935464,20.577912570885807
11,1,0,0,office_0..Face6,19.384462287675248,19.167952537178593
12,1,0,0,office_0..Face6,18.713373966518212,18.424172767434456
1,1,0,0,office_0..Face7,17.728927096527496,-2.5710916458261885
2,1,0,0,office_0..Face7,18.051201246348825,0.38660660391887897
3,1,0,0,office_0..Face7,18.759930069164184,5.443531473879597
4,1,0,0,office_0..Face7,19.54082834526315,11.108195275945471
5,1,0,0,office_0..Face7,21.53343594928599,18.294523249369878
6,1,0,0,office_0..Face7,22.77801361472331,22.214588531025893
7,1,0,0,office_0..Face7,24.066071997271006,27.093325393904408
8,1,0,0,office_0..Face7,23.586002506185725,24.577632846759062
9,1,0,0,office_0..Face7,22.211922656914865,20.19239733256765
10,1,0,0,office_0..Face7,20.34943369640199,13.217269739666653
11,1,0,0,office_0..Face7,18.94280872971498,6.640312352521862
12,1,0,0,office_0..Face7,18.148941993324897,2.2226439184193767
1,1,0,0,office_0..Face7_Glz0,10.978665526667378,0.8583547124641193
2,1,0,0,office_0..Face7_Glz0,12.066318796637066,3.0429044697789607
3,1,0,0,office_0..Face7_Glz0,14.158707451114987,7.027475789436087
4,1,0,0,office_0..Face7_Glz0,16.46345130378375,11.345332099465338
5,1,0,0,office_0..Face7_Glz0,20.19725548603878,17.2887056720092
6,1,0,0,office_0..Face7_Glz0,22.353522689957675,20.679531089296116
7,1,0,0,office_0..Face7_Glz0,24.909944010194355,24.763987448869717
8,1,0,0,office_0..Face7_Glz0,23.798761314927884,23.033346006331122
9,1,0,0,office_0..Face7_Glz0,21.418913374049126,19.55929759357471
10,1,0,0,office_0..Face7_Glz0,17.797410680008866,13.8868430582338
11,1,0,0,office_0..Face7_Glz0,14.677143206466136,8.514099707946638
12,1,0,0,office_0..Face7_Glz0,12.668929988880674,4.745824292038151
1,1,0,0,office_0..Face8,18.44308105426678,18.079191608789937
2,1,0,0,office_0..Face8,18.690384437457336,18.395337992864224
3,1,0,0,office_0..Face8,19.272655819642097,19.108151372230534
4,1,0,0,office_0..Face8,19.933527759885983,19.968956585288375
5,1,0,0,office_0..Face8,21.80935915006873,22.070664669350307
6,1,0,0,office_0..Face8,22.95712139872008,23.25737370007311
7,1,0,0,office_0..Face8,24.12735333773222,24.500133197445354
8,1,0,0,office_0..Face8,23.695075439377018,23.99414777648902
9,1,0,0,office_0..Face8,22.40396449872617,22.606926000141474
10,1,0,0,office_0..Face8,20.63705648190672,20.578083359550657
11,1,0,0,office_0..Face8,19.359137309769313,19.09903820910092
12,1,0,0,office_0..Face8,18.689721218448707,18.35664520236256
1,1,0,0,office_0..Face9,18.488509023845506,18.114454524410384
2,1,0,0,office_0..Face9,18.727691618252514,18.424666278365887
3,1,0,0,office_0..Face9,19.296924319368472,19.12751409369804
4,1,0,0,office_0..Face9,19.94297341903663,19.976114354074372
5,1,0,0,office_0..Face9,21.804897162719534,22.067178296634875
6,1,0,0,office_0..Face9,22.946503765177482,23.250099614251138
7,1,0,0,office_0..Face9,24.107609288716436,24.486431086840042
8,1,0,0,office_0..Face9,23.681828057613583,23.985413138093712
9,1,0,0,office_0..Face9,22.400091014404843,22.604410082465176
10,1,0,0,office_0..Face9,20.648405197454434,20.588253862068328
11,1,0,0,office_0..Face9,19.385745800600194,19.121324211637823
12,1,0,0,office_0..Face9,18.726220444554084,18.385901126807767
1,1,0,0,office_0..Face10,18.60377662528386,18.561496647516677
2,1,0,0,office_0..Face10,18.810036165139703,18.757616049188975
3,1,0,0,office_0..Face10,19.30719074742857,19.213295061120128
4,1,0,0,office_0..Face10,19.84748211172228,19.709862769315496
5,1,0,0,office_0..Face10,21.58099272301047,21.378439701744643
6,1,0,0,office_0..Face10,22.708107868189384,22.49379101729861
7,1,0,0,office_0..Face10,23.8476331990378,23.63045751016299
8,1,0,0,office_0..Face10,23.452710199970426,23.247127032262743
9,1,0,0,office_0..Face10,22.215882513826244,22.038341865192194
10,1,0,0,office_0..Face10,20.591132093763616,20.4468518818515
11,1,0,0,office_0..Face10,19.440049516035497,19.346573384764053
12,1,0,0,office_0..Face10,18.82756786619906,18.773986186081178
1,1,0,0,office_0..Face11,18.619122962712478,18.601505748235386
2,1,0,0,office_0..Face11,18.83188361216199,18.818349403294626
3,1,0,0,office_0..Face11,19.32644855552465,19.262298274595874
4,1,0,0,office_0..Face11,19.857706828027034,19.723432478377628
5,1,0,0,office_0..Face11,21.579454645238286,21.345730539761792
6,1,0,0,office_0..Face11,22.7090850863958,22.47089790531823
7,1,0,0,office_0..Face11,23.870006424585988,23.678770546504115
8,1,0,0,office_0..Face11,23.471888848729808,23.284436319009796
9,1,0,0,office_0..Face11,22.22627436786007,22.046261494391164
10,1,0,0,office_0..Face11,20.61936156172036,20.514109842072788
11,1,0,0,office_0..Face11,19.46747411412,19.420489069135037
12,1,0,0,office_0..Face11,18.846933767898662,18.82753653042789
1,1,0,0,office_0..Face12,18.160647108171474,-2.573305120736918
2,1,0,0,office_0..Face12,18.443027679263626,0.6238964801779834
3,1,0,0,office_0..Face12,19.073719527325906,5.941672424219235
4,1,0,0,office_0..Face12,19.762643339271754,11.82872968150102
5,1,0,0,office_0..Face12,21.661588272575628,19.74953810046298
6,1,0,0,office_0..Face12,22.864924171567964,24.11226929965321
7,1,0,0,office_0..Face12,24.090368122186725,28.862752594847535
8,1,0,0,office_0..Face12,23.63524174101501,26.270625720660515
9,1,0,0,office_0..Face12,22.29870543639077,21.436346224316093
10,1,0,0,office_0..Face12,20.52184082616762,13.874626367538193
11,1,0,0,office_0..Face12,19.213553377239844,6.7601557856276395
12,1,0,0,office_0..Face12,18.49011523838974,2.09641909017407
1,1,0,0,office_1..Face0,17.967784412753936,18.0
2,1,0,0,office_1..Face0,18.30588396338856,18.0
3,1,0,0,office_1..Face0,19.016578819234628,18.0
4,1,0,0,office_1..Face0,19.909428637821375,18.0
5,1,0,0,office_1..Face0,21.780250001086227,18.0
6,1,0,0,office_1..Face0,22.881154392612917,18.0
7,1,0,0,office_1..Face0,24.06513811973713,18.0
8,1,0,0,office_1..Face0,23.514748022918837,18.0
9,1,0,0,office_1..Face0,22.199253063685628,18.0
10,1,0,0,office_1..Face0,20.30340857733787,18.0
11,1,0,0,office_1..Face0,18.941658721799215,18.0
12,1,0,0,office_1..Face0,18.26340170218719,18.0
1,1,0,0,office_1..Face1,17.349960185918075,-2.5995395317773005
2,1,0,0,office_1..Face1,17.739371006565413,0.3477915199629643
3,1,0,0,office_1..Face1,18.611679200669982,5.366387223218422
4,1,0,0,office_1..Face1,19.63536164438112,11.015270712924547
5,1,0,0,office_1..Face1,21.912998462743186,18.18728833056681
6,1,0,0,office_1..Face1,23.216964456686753,22.11669518721784
7,1,0,0,office_1..Face1,24.59086944044545,26.982932661181643
8,1,0,0,office_1..Face1,24.0077844434846,24.482150305529775
9,1,0,0,office_1..Face1,22.469656319626253,20.10371123653767
10,1,0,0,office_1..Face1,20.305143891809827,13.169359720817738
11,1,0,0,office_1..Face1,18.67082172628483,6.613742296938382
12,1,0,0,office_1..Face1,17.783506126597853,2.2016113213646857
1,1,0,0,office_1..Face1_Glz0,10.72761051535869,0.760480782598267
2,1,0,0,office_1..Face1_Glz0,11.853598657617672,2.956219933102418
3,1,0,0,office_1..Face1_Glz0,14.034595314960644,6.959242710983643
4,1,0,0,office_1..Face1_Glz0,16.490450247723825,11.329142408391885
5,1,0,0,office_1..Face1_Glz0,20.40550985907265,17.331006854094948
6,1,0,0,office_1..Face1_Glz0,22.60598333021824,20.742436776766624
7,1,0,0,office_1..Face1_Glz0,25.209479196743676,24.8377099776504
8,1,0,0,office_1..Face1_Glz0,24.033482986498154,23.080712053798603
9,1,0,0,office_1..Face1_Glz0,21.548431869860877,19.570247373315716
10,1,0,0,office_1..Face1_Glz0,17.739339354986445,13.843559242677388
11,1,0,0,office_1..Face1_Glz0,14.492184798980583,8.439749697801963
12,1,0,0,office_1..Face1_Glz0,12.437439316208696,4.665912838411524
1,1,0,0,office_1..Face2,18.14330362685238,18.465407841249213
