year,month,day,hour,minute,identifier,zone_ideal_loads_supply_air_total_cooling_energy,zone_ideal_loads_supply_air_total_heating_energy
2017,1,1,0,0,House_Room_0,0.0,0.08251273077407428
2017,1,1,1,0,House_Room_0,0.0,0.06985440639765317
2017,1,1,2,0,House_Room_0,0.0,0.07005098905025406
2017,1,1,3,0,House_Room_0,0.0,0.07053951082529626
2017,1,1,4,0,House_Room_0,0.0,0.07023175011105504
2017,1,1,5,0,House_Room_0,0.0,0.06977931337250748
2017,1,1,6,0,House_Room_0,0.0,0.07024322708723951
2017,1,1,7,0,House_Room_0,0.0,0.06005347317414073
2017,1,1,8,0,House_Room_0,0.0,0.06500696566741222
2017,1,1,9,0,House_Room_0,0.0,0.05112578657215817
2017,1,1,10,0,House_Room_0,0.0,0.04638549745627169
2017,1,1,11,0,House_Room_0,0.0,0.03245105279154585
2017,1,1,12,0,House_Room_0,0.0,0.02635411341722054
2017,1,1,13,0,House_Room_0,0.0,0.026324874290983732
2017,1,1,14,0,House_Room_0,0.0,0.03018179086879229
2017,1,1,15,0,House_Room_0,0.0,0.04115237532216015
2017,1,1,16,0,House_Room_0,0.0,0.03471681905107327
2017,1,1,17,0,House_Room_0,0.0,0.06297920651263253
2017,1,1,18,0,House_Room_0,0.0,0.06904139700271329
2017,1,1,19,0,House_Room_0,0.0,0.07476134155747562
2017,1,1,20,0,House_Room_0,0.0,0.07989274105939419
2017,1,1,21,0,House_Room_0,0.0,0.08495497806714193
2017,1,1,22,0,House_Room_0,0.0,0.09075782754615844
2017,1,1,23,0,House_Room_0,0.0,0.09622609945178569
2017,1,2,0,0,House_Room_0,0.0,0.09924042417308797
2017,1,2,1,0,House_Room_0,0.0,0.10108780231365447
2017,1,2,2,0,House_Room_0,0.0,0.10369848662036552
2017,1,2,3,0,House_Room_0,0.0,0.10465871486341655
2017,1,2,4,0,House_Room_0,0.0,0.10470433347686381
2017,1,2,5,0,House_Room_0,0.0,0.1058128816382547
2017,1,2,6,0,House_Room_0,0.0,0.10618602352089815
2017,1,2,7,0,House_Room_0,0.0,0.08943956926663207
2017,1,2,8,0,House_Room_0,0.0,0.0831182666638753
2017,1,2,9,0,House_Room_0,0.0,0.06959122192686139
2017,1,2,10,0,House_Room_0,0.0,0.06954162598483173
2017,1,2,11,0,House_Room_0,0.0,0.07180559610619794
2017,1,2,12,0,House_Room_0,0.0,0.06579154622638489
2017,1,2,13,0,House_Room_0,0.0,0.05358553677514484
2017,1,2,14,0,House_Room_0,0.0,0.05470732856271146
2017,1,2,15,0,House_Room_0,0.0,0.06053979883049213
2017,1,2,16,0,House_Room_0,0.0,0.049818202177597234
2017,1,2,17,0,House_Room_0,0.0,0.07271274725741955
2017,1,2,18,0,House_Room_0,0.0,0.0734662077695022
2017,1,2,19,0,House_Room_0,0.0,0.07472060039068647
2017,1,2,20,0,House_Room_0,0.0,0.0748122484980166
2017,1,2,21,0,House_Room_0,0.0,0.07371145161964342
2017,1,2,22,0,House_Room_0,0.0,0.07418665835533306
2017,1,2,23,0,House_Room_0,0.0,0.07550337436535988
2017,1,3,0,0,House_Room_0,0.0,0.07549510411242938
2017,1,3,1,0,House_Room_0,0.0,0.07490513753988531
2017,1,3,2,0,House_Room_0,0.0,0.0739769328447651
2017,1,3,3,0,House_Room_0,0.0,0.07325545111238434
2017,1,3,4,0,House_Room_0,0.0,0.07196521133247262
2017,1,3,5,0,House_Room_0,0.0,0.07020735501221038
2017,1,3,6,0,House_Room_0,0.0,0.06936804349791573
2017,1,3,7,0,House_Room_0,0.0,0.058914920479442606
2017,1,3,8,0,House_Room_0,0.0,0.06612423759638317
2017,1,3,9,0,House_Room_0,0.0,0.06180084027414391
2017,1,3,10,0,House_Room_0,0.0,0.05983330668621203
2017,1,3,11,0,House_Room_0,0.0,0.06001743132710906
2017,1,3,12,0,House_Room_0,0.0,0.0596494317567567
2017,1,3,13,0,House_Room_0,0.0,0.05870122627228133
2017,1,3,14,0,House_Room_0,0.0,0.05847485658089323
2017,1,3,15,0,House_Room_0,0.0,0.05908324656494557
2017,1,3,16,0,House_Room_0,0.0,0.03868040820439483
2017,1,3,17,0,House_Room_0,0.0,0.05518442547172286
2017,1,3,18,0,House_Room_0,0.0,0.05181499062541603
2017,1,3,19,0,House_Room_0,0.0,0.05202481426340464
2017,1,3,20,0,House_Room_0,0.0,0.05446764605329433
2017,1,3,21,0,House_Room_0,0.0,0.05603263440852798
2017,1,3,22,0,House_Room_0,0.0,0.05805544158832822
2017,1,3,23,0,House_Room_0,0.0,0.06111305333771179
2017,1,4,0,0,House_Room_0,0.0,0.06415393938869116
2017,1,4,1,0,House_Room_0,0.0,0.06749233746517758
2017,1,4,2,0,House_Room_0,0.0,0.06947498691064104
2017,1,4,3,0,House_Room_0,0.0,0.07087571455171811
2017,1,4,4,0,House_Room_0,0.0,0.0719284717270166
2017,1,4,5,0,House_Room_0,0.0,0.07266267228036127
2017,1,4,6,0,House_Room_0,0.0,0.07273592736369046
2017,1,4,7,0,House_Room_0,0.0,0.05630650692702543
2017,1,4,8,0,House_Room_0,0.0,0.06635744418060928
2017,1,4,9,0,House_Room_0,0.0,0.07036484349990124
2017,1,4,10,0,House_Room_0,0.0,0.06686280404840243
2017,1,4,11,0,House_Room_0,0.0,0.054838426827976225
2017,1,4,12,0,House_Room_0,0.0,0.039889867284176116
2017,1,4,13,0,House_Room_0,0.0,0.03742411087557156
2017,1,4,14,0,House_Room_0,0.0,0.04161734778906129
2017,1,4,15,0,House_Room_0,0.0,0.05018543993023258
2017,1,4,16,0,House_Room_0,0.0,0.044575702918891014
2017,1,4,17,0,House_Room_0,0.0,0.0737027257932434
2017,1,4,18,0,House_Room_0,0.0,0.07960114177002933
2017,1,4,19,0,House_Room_0,0.0,0.08413094110308866
2017,1,4,20,0,House_Room_0,0.0,0.08842313082932789
2017,1,4,21,0,House_Room_0,0.0,0.09225161092052343
2017,1,4,22,0,House_Room_0,0.0,0.09564732212785948
2017,1,4,23,0,House_Room_0,0.0,0.09982111775450558
2017,1,5,0,0,House_Room_0,0.0,0.10401634655918118
